eventDate,scientificName,family,order,decimalLatitude,decimalLongitude,waterBody
2023-04-20,Chironomidae,Chironomidae,Diptera,51.40329,4.65117,Meuse river basin;WEHAGENBEEK;BEVL_L111_1050
2023-04-20,Haliplidae,Haliplidae,Coleoptera,51.40329,4.65117,Meuse river basin;WEHAGENBEEK;BEVL_L111_1050
2023-04-20,Simuliidae,Simuliidae,Diptera,51.38293,4.65139,Meuse river basin;WEHAGENBEEK;BEVL_L111_1050
2023-04-20,"Glossiphonia Johnson, 1816",Glossiphoniidae,Rhynchobdellida,51.38293,4.65139,Meuse river basin;WEHAGENBEEK;BEVL_L111_1050
2023-04-20,"Sigara Fabricius, 1775",Corixidae,Hemiptera,51.38293,4.65139,Meuse river basin;WEHAGENBEEK;BEVL_L111_1050
2023-04-20,"Hippeutis Charpentier, 1837",Planorbidae,,51.38293,4.65139,Meuse river basin;WEHAGENBEEK;BEVL_L111_1050
2023-04-20,"Polycelis Ehrenberg, 1831",Planariidae,Tricladida,51.36639,4.95927,Scheldt river basin;BEVL_L217_4711
2023-04-20,Tubificidae,Naididae,Tubificida,51.36639,4.95927,Scheldt river basin;BEVL_L217_4711
2023-04-20,Psychodidae,Psychodidae,Diptera,51.36639,4.95927,Scheldt river basin;BEVL_L217_4711
2023-04-20,"Plea Leach, 1818",Pleidae,Hemiptera,51.36639,4.95927,Scheldt river basin;BEVL_L217_4711
2023-04-20,Limnephilidae,Limnephilidae,Trichoptera,51.36639,4.95927,Scheldt river basin;BEVL_L217_4711
2023-04-20,Naididae,Naididae,Tubificida,51.3576,4.67075,Meuse river basin;BEVL_L217_5273
2023-04-20,"Helobdella Blanchard, 1896",Glossiphoniidae,Rhynchobdellida,51.3576,4.67075,Meuse river basin;BEVL_L217_5273
2023-04-20,"Velia Latreille, 1804",Veliidae,Hemiptera,51.3576,4.67075,Meuse river basin;BEVL_L217_5273
2023-04-26,Animalia,,,51.07111,4.37734,Scheldt river basin;HAZEWINKEL;BEVL05_198
2023-04-26,"Bithynia Leach, 1818",Bithyniidae,Littorinimorpha,51.07111,4.37734,Scheldt river basin;HAZEWINKEL;BEVL05_198
2023-04-26,"Potamopyrgus W.Stimpson, 1865",Tateidae,Littorinimorpha,51.07111,4.37734,Scheldt river basin;HAZEWINKEL;BEVL05_198
2023-04-26,Animalia,,,51.07111,4.37734,Scheldt river basin;HAZEWINKEL;BEVL05_198
